gene,score
TRG-AS1,0.10391357387205451
NPDC1,0.1036106833375918
MIAT,0.10320347726646442
STK38,0.10293178125362307
NSG1,0.10250406199446212
GPR174,0.10245116609756305
UBE2C,0.10242211275682134
CFP,0.10230952177786318
FCRL1,0.10201695838301503
IFNG,0.10132382563922054
LTK,0.1013160169916795
F2R,0.10036465045379875
RGCC,0.10001520368598639
SLC25A37,0.0999600104728639
MAP3K8,0.09989487331340201
TOP2A,0.09969941420594819
METRNL,0.09911075704290268
ASAH1,0.09901071702284
PNMA5,0.09899812678950412
ACSM3,0.09797080209043062
HIST1H1E,0.09794468820590513
GABRB2,0.0979362323004651
ASCL2,0.09766595772369352
MMD,0.09755027210291647
PPP1R15A,0.09699939085228824
PECAM1,0.09659918139237164
GBP1,0.09597687559228738
RNASE1,0.09588584613156595
LAIR1,0.09576990501873885
CD40LG,0.09575754554006514
NRGN,0.09541223214260752
PKN2,0.09517141086044699
RGS2,0.09504772205752476
CX3CR1,0.09475641612783532
SLC35E2B,0.09434845191173631
CHD3,0.09427618938124767
ACTN1,0.09405217453788703
MNDA,0.09400418067119205
ZNF439,0.09369256309098777
SLC12A6,0.093344070186586
SIAH2,0.0931410705600715
ZNF589,0.09313389437298936
CYTOR,0.09288313570779853
DPEP2,0.09211381213582703
ARAP2,0.09200969077252384
IGLV2-14,0.09128483064364117
IRF4,0.0912552164508065
MYL9,0.09109575289454264
UTRN,0.09086915105554541
TRGV2,0.09074764193936334
CARD19,0.09063222918572113
LPP,0.09048607263811222
CYBB,0.09032235704486057
PGD,0.0899264373013617
BEX3,0.08940743771862364
RAP1GAP2,0.08889778118219965
STAT2,0.08888967891467242
LGALS3,0.08867470250986209
APLP2,0.08862538375352835
NR4A2,0.08814270337979112
PATL2,0.08797098642070246
NCR3,0.0878622241112182
CEMIP2,0.08785687907535566
SPATA13,0.08781492735560653
STAT1,0.08769968989195642
LILRB1,0.08753361234211966
NCOA4,0.08723096732650928
GIMAP6,0.08705231124351062
NT5C3A,0.08704746761333287
MAF,0.08697938017525288
CFD,0.08694934215372983
PPP2R2B,0.08667339489702267
MAX,0.08653451789749925
PLEKHG3,0.08651288853496943
SOD2,0.08507518011222348
BTNL9,0.08503039526731272
CDC14A,0.08423162014916918
PTPRJ,0.08407189319828912
TTC16,0.08384297700310767
S100A12,0.08353191459849514
LGALS2,0.08340401337863725
CRIP2,0.08338470105778654
CDK6,0.08313642971679752
PMAIP1,0.08279299626178421
PDCD1,0.08264545889238302
AC245014.3,0.08228961949661565
BATF,0.08222806699537033
BCL9L,0.08218049016351717
SLA2,0.08216858826927784
ZFYVE28,0.08212470857432594
ZCCHC18,0.08157028447980266
SOCS1,0.08144016455941516
SLCO3A1,0.08097029347260302
HMGB2,0.08084129153906157
CENPF,0.08084077351797286
NELL2,0.08078890474540397
MT-ND5,0.08028434765969993
OASL,0.08015616097288071
HIST1H1B,0.0801063165798722
TMBIM1,0.07998192584110982
TNFAIP2,0.07934029365287097
WARS,0.07911704617189243
PTPRE,0.07898939484992362
HIST1H2AC,0.07885463994400699
COCH,0.07852357862728619
NBEAL2,0.07818661208536307
HIST2H2AA4,0.07781152982472701
CD84,0.07754271285869321
GSTO1,0.0774802400073668
SIK3,0.07708917959053611
TRDC,0.07704468105307656
KLF10,0.07656991625035678
CD28,0.07635671028075484
FTX,0.07627264350394532
TRERF1,0.0753310927475843
TRBV20-1,0.07529538249448722
ABCA7,0.07482467961636215
ITGAX,0.07479759931132103
FGR,0.0747284457423018
PRKY,0.07410562999347049
CD68,0.07399820361418427
XAF1,0.07345585826768773
NORAD,0.0733625628867521
SLC20A1,0.07327562550924498
TOX,0.0732371726005989
RNF11,0.07309324945812305
