gene,is_known,p_S1,p_S2,p_mean,p_max,p_fisher,p_bonf,p_hmp
PGS1,False,0.42778610694652675,0.0199600798403193,0.0568811732335589,0.019960079840319334,0.049209516393021735,0.0399201596806386,0.19529607945949143
RP11-398J5.1,False,0.4512743628185907,0.0878243512974051,0.14819718913238833,0.08782435129740507,0.16757162350838606,0.1756487025948102,0.38344992398843925
SLC26A11,False,0.0004997501249375312,0.0119760479041916,4.364905322573609e-05,0.0004997501249375258,7.796250956226825e-05,0.0009995002498750624,0.030975194928967
RPTOR,False,0.010494752623688156,0.0019960079840319,0.0001223527605062058,0.001996007984031878,0.00024662639334704917,0.0039920159680638,0.05791456457274081
SLC38A10,False,0.12693653173413294,0.279441117764471,0.11121173443085508,0.12693653173413288,0.15391103738471013,0.2538730634682659,0.41781936021034816
BAHCC1,False,0.0014992503748125937,0.0139720558882235,0.00012965442022827567,0.0014992503748125774,0.00024662639334704917,0.0029985007496251873,0.052037778272182554
FASN,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
RP13-516M14.2,False,0.2413793103448276,0.8862275449101796,0.6394436163146116,0.24137931034482762,0.5438127688393182,0.4827586206896552,0.6159689026792963
SECTM1,False,0.0004997501249375312,0.0838323353293413,0.0004791672069668351,0.0004997501249375258,0.0004642132330343607,0.0009995002498750624,0.031521060148532544
WDR45B,False,0.31384307846076964,0.281437125748503,0.22600955644660958,0.281437125748503,0.30267119287457156,0.562874251497006,0.5447550293998892
AC024361.1,False,0.09145427286356822,0.1357285429141716,0.04277288539038926,0.09145427286356822,0.06689359651939486,0.18290854572713644,0.3305710770507517
EMILIN2,False,0.6526736631684158,0.0738522954091816,0.2278049139478342,0.07385229540918148,0.19436589106012903,0.1477045908183632,0.36426670138877343
RP11-737O24.1,False,0.001999000499750125,0.0019960079840319,2.341668097016747e-05,0.001996007984031878,5.3592820653758366e-05,0.0039920159680638,0.044693434876932524
RP13-270P17.1,False,0.15542228885557222,0.499001996007984,0.23625925567364892,0.15542228885557208,0.2758477753014794,0.31084457771114443,0.48684765881899383
RP11-838N2.3,False,0.5787106446776612,0.5708582834331337,0.605145851617944,0.5708582834331337,0.6962595434544944,1.0,0.7581277237318264
C18orf42,False,0.2773613193403298,0.0019960079840319,0.007077610988392546,0.001996007984031878,0.004705199674281291,0.0039920159680638,0.06295627860414325
ARHGAP28,False,0.2538730634682659,0.0678642714570858,0.06384469647078073,0.06786427145708585,0.08719838399874125,0.1357285429141716,0.3272601877525166
LAMA1,False,0.26436781609195403,0.7584830339321357,0.5201594912769407,0.26436781609195403,0.5227214096984294,0.5287356321839081,0.6261610797368196
RP11-881L2.1,False,0.0009995002498750624,0.1696606786427145,0.002112370029486943,0.0009995002498750516,0.0016418693844346688,0.001999000499750125,0.044579064757630946
RP11-138E9.2,False,0.0024987506246876563,0.0079840319361277,0.00011262942944134657,0.002498750624687629,0.00023585564826600347,0.004997501249375313,0.06169490497470783
RP11-883A18.3,False,0.0029985007496251873,0.0798403193612774,0.0016549568183924501,0.0029985007496251548,0.0022353780025738956,0.005997001499250375,0.07602584557811476
RP11-856M7.4,False,0.3953023488255872,0.7604790419161677,0.6227710383881062,0.3953023488255871,0.6619366443928401,0.7906046976511744,0.721249410772635
RP11-677O4.2,False,0.0769615192403798,0.5329341317365269,0.17111720706447286,0.07696151924037986,0.1720107644936777,0.1539230384807596,0.3667421388059779
PRELID3A,False,0.9645177411294353,0.3972055888223553,0.8627071801641575,0.39720558882235535,0.7506801871882223,0.7944111776447106,0.7501244895018359
RP11-757O6.1,False,0.0004997501249375312,0.3053892215568862,0.0036076102180487846,0.0004997501249375258,0.0014937623889494933,0.0009995002498750624,0.031589037706373675
RP11-535A5.1,False,0.24437781109445278,0.0019960079840319,0.005782679131841495,0.001996007984031878,0.004207418114983041,0.0039920159680638,0.06292594441681537
RBBP8,False,0.5452273863068465,0.0019960079840319,0.025275170940944003,0.001996007984031878,0.008513772922690732,0.0039920159680638,0.0630670675717814
OSBPL1A,False,0.08845577211394302,0.5209580838323353,0.17939842324195543,0.08845577211394307,0.18789088215351668,0.17691154422788605,0.3888869013077966
ZNF521,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
SS18,False,0.4767616191904048,0.0139720558882235,0.05530218543362864,0.013972055888223478,0.040044209791383456,0.027944111776447,0.16476799895046812
AQP4-AS1,False,0.0734632683658171,0.7644710578842315,0.3029320484413246,0.07346326836581707,0.21787711926720132,0.1469265367316342,0.36612185494856225
CHST9,False,0.6481759120439781,0.0019960079840319,0.03864514316262391,0.001996007984031878,0.009897554644836881,0.0039920159680638,0.06308534378662627
RNF125,False,0.5897051474262869,0.029940119760479,0.12096378798032958,0.029940119760478945,0.08892698037487057,0.059880239520958,0.238719367603939
C18orf21,False,0.0004997501249375312,0.0698602794411177,0.0003743006568913687,0.0004997501249375258,0.00039320969564748953,0.0009995002498750624,0.031502397423669386
RP11-49I11.1,False,0.0069965017491254375,0.0259481037924151,0.0009282236508796338,0.006996501749125472,0.001745383115072885,0.013993003498250875,0.10498231096141868
RP11-687D19.1,False,0.07546226886556721,0.8882235528942116,0.4384286430807971,0.07546226886556717,0.24817916072882928,0.15092453773113443,0.3729695142920916
RP11-244M2.1,False,0.42828585707146427,0.3712574850299401,0.359384502853036,0.37125748502994016,0.45138528368439645,0.7425149700598802,0.630664620140176
RP11-846C15.2,False,0.0014992503748125937,0.1177644710578842,0.0016548199597625768,0.0014992503748125774,0.0017023514095724224,0.0029985007496251873,0.05441329750484278
ST8SIA5,False,0.0004997501249375312,0.1137724550898203,0.0007360600170611686,0.0004997501249375258,0.0006126403450635864,0.0009995002498750624,0.03154566697515774
CTD-2130O13.1,False,0.5557221389305347,0.0019960079840319,0.026401714301105494,0.001996007984031878,0.008656501462316779,0.0039920159680638,0.06306923980877627
RP11-426J5.2,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
SKA1,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
RP11-267C16.1,False,0.8830584707646177,0.4331337325349301,0.7650596518785849,0.43313373253493004,0.7500757809042975,0.8662674650698602,0.7623617096722533
ATP8B1,False,0.1629185407296352,0.0019960079840319,0.003163169527385934,0.001996007984031878,0.0029367972737207593,0.0039920159680638,0.06279888101096308
RP11-693L9.2,False,0.047976011994003,0.7744510978043913,0.2596814434252288,0.04797601199400303,0.1594939156027797,0.095952023988006,0.30059057632035874
RP11-126O1.6,False,0.7051474262868566,0.6207584830339321,0.7253246379398051,0.6207584830339321,0.7993588505419171,1.0,0.8125684184329933
RP11-685A21.1,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
RP11-635N19.1,False,0.0004997501249375312,0.1616766467065868,0.0012424051411487058,0.0004997501249375258,0.000842201954672106,0.0009995002498750624,0.03156612532330091
SERPINB3,False,0.19390304847576212,0.0019960079840319,0.004069208467387786,0.001996007984031878,0.0034279439135377343,0.0039920159680638,0.06285969670818661
RP11-146N18.1,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
CDH19,False,0.6036981509245377,0.0019960079840319,0.032178908218544744,0.001996007984031878,0.00930404534765139,0.0039920159680638,0.0630782106268569
NETO1,False,0.20389805097451275,0.1217564870259481,0.07927108128147331,0.12175648702594821,0.11657918324151684,0.2435129740518962,0.39047121374323907
RP11-405M12.3,False,0.5122438780609695,0.3872255489021956,0.428214520929621,0.3872255489021956,0.5192315212291705,0.7744510978043913,0.6641133111847795
ATP9B,False,0.026486756621689155,0.4770459081836327,0.07940932241614895,0.0264867566216892,0.0678679236961689,0.05297351324337831,0.2240245694517242
RP11-196B3.3,False,0.08745627186406797,0.0898203592814371,0.02818969619049172,0.0874562718640679,0.0459267968603535,0.17491254372813594,0.2976954019287283
RP11-154H12.3,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
ITPA,False,0.4912543728135932,0.0019960079840319,0.02012783698563647,0.001996007984031878,0.007773192772034587,0.0039920159680638,0.06305443447010146
PRNT,False,0.17541229385307347,0.3213572854291417,0.161636106284335,0.17541229385307355,0.2184799240740425,0.35082458770614694,0.47638885234904726
RP11-19D2.1,False,0.013493253373313344,0.6966067864271457,0.11507095559218772,0.013493253373313308,0.05326785706750714,0.026986506746626688,0.16270744209727409
AL049794.1,False,0.0559720139930035,0.0019960079840319,0.0007900091049004576,0.001996007984031878,0.0011283231350490697,0.0039920159680638,0.062085096608029196
RP4-777L9.3,False,0.04297851074462768,0.4530938123752495,0.09722623013329268,0.04297851074462766,0.09617298987471279,0.08595702148925537,0.28019620316580146
RP5-1177M21.1,False,0.030984507746126936,0.0678642714570858,0.008780393120878749,0.030984507746126932,0.01506511665606669,0.06196901549225387,0.20626343159427443
RP5-984P4.6,False,0.026486756621689155,0.1117764471057884,0.01290719590534406,0.0264867566216892,0.020198262963867175,0.05297351324337831,0.20694323364520215
FOXA2,False,0.5897051474262869,0.844311377245509,0.809537233664825,0.5897051474262869,0.8451099144615567,1.0,0.8333102042348048
THBD,False,0.9735132433783108,0.4011976047904191,0.883250909816629,0.4011976047904191,0.7577647418366071,0.8023952095808382,0.7538056975012427
LINC01431,False,0.3243378310844578,0.2035928143712574,0.18187312156234825,0.2035928143712573,0.24548392186164425,0.4071856287425148,0.5001572730312819
NAPB,False,0.13543228385807096,0.0019960079840319,0.0024450157426223473,0.001996007984031878,0.002491275405817839,0.0039920159680638,0.06272189365319512
CSTL1,False,0.11294352823588207,0.0019960079840319,0.0019143856223367006,0.001996007984031878,0.002118530551715736,0.0039920159680638,0.06263139572320552
REM1,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
TTLL9,False,0.044977511244377814,0.0059880239520958,0.0014608991421815043,0.0059880239520957446,0.002483078170197328,0.0119760479041916,0.10280545938899929
CCM2L,False,0.2353823088455772,0.0019960079840319,0.0054544456763127025,0.001996007984031878,0.004070164329928905,0.0039920159680638,0.06291620533016133
RP11-410N8.3,False,0.9290354822588706,0.12375249500998,0.5873638307820555,0.12375249500997998,0.36366076631341593,0.24750499001996,0.467345076635919
RP1-63M2.5,False,0.175912043978011,0.2754491017964072,0.14005203040539282,0.17591204397801086,0.19513352582689525,0.351824087956022,0.46336302976676685
ASIP,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
TP53INP2,False,0.27886056971514245,0.4071856287425149,0.28077220801133285,0.2788605697151425,0.36057507344527684,0.5577211394302849,0.5753446680766189
GDF5OS,False,0.0004997501249375312,0.0019960079840319,6.430213693953135e-06,0.0004997501249375258,1.4781041052014388e-05,0.0009995002498750624,0.028272964322665645
NFS1,False,0.4682658670664668,0.0978043912175648,0.16566986818676643,0.09780439121756479,0.18701822583946182,0.1956087824351296,0.4022585255173141
ROMO1,False,0.0009995002498750624,0.0199600798403193,0.00013736439794953537,0.0009995002498750516,0.00023585564826600347,0.001999000499750125,0.043631113795038756
PHF20,False,0.006496751624187906,0.1077844311377245,0.004243007030834356,0.006496751624187946,0.005786907616264991,0.012993503248375811,0.11070157081321255
