gene,alpha_UMI,se,t_stat,p_value,fdr,p_value_perm,fdr_perm
UBA3,-0.004594274028380788,0.003976905074144691,-1.1552385442259314,0.24811504075928417,0.9610942545789382,0.022977022977022976,0.7838728435743362
TTC37,0.002813431815635402,0.002436105581078894,1.1548891137913013,0.24825809412821176,0.9610942545789382,0.8341658341658341,0.9771869156484541
HCCAT5,-0.004265666328164215,0.0036939873216603565,-1.1547593309675324,0.24831124063758062,0.9610942545789382,0.6743256743256744,0.9595260474922686
PANK1,0.004705957882245989,0.004083168510294097,1.1525260028775748,0.24922704410670338,0.9610942545789382,0.22577422577422576,0.9563987033374789
PRDX2,0.003908177720677479,0.0033933946065627498,1.1517015183315251,0.24956573041814234,0.9610942545789382,0.7272727272727273,0.9668280437511206
RP11-524H19.2,-0.003840368565657816,0.003338520211666641,-1.1503205978014714,0.25013371326334277,0.9610942545789382,0.9470529470529471,0.9947745760732774
DMGDH,-0.004956494670355038,0.0043112208072962335,-1.1496731185666955,0.2504003371460684,0.9610942545789382,0.2017982017982018,0.9553959553959553
PRIM2,-0.004005903090152096,0.003484721123243686,-1.1495620304967553,0.2504461017800096,0.9610942545789382,0.6963036963036963,0.9647867162897223
CEP68,-0.003511518133892268,0.003058108367446501,-1.1482647806961832,0.25098095868696413,0.9610942545789382,0.7302697302697303,0.9669839837581773
RP11-174J11.1,0.0035947599066770185,0.0031313868906704357,1.147976929131943,0.25109974812960417,0.9610942545789382,0.17482517482517482,0.9398878756205234
RP11-101E13.5,0.004173438536227672,0.0036380462289592936,1.1471647894425978,0.25143511034128935,0.9610942545789382,0.4435564435564436,0.956911334409484
DDX18,0.0034158273720772594,0.0029870898179443998,1.143530184983442,0.2529398018874351,0.9610942545789382,0.04295704295704296,0.8747944968417409
CLCN1,0.003977521789554468,0.0034803254680792054,1.142859145224864,0.2532182909901537,0.9610942545789382,0.5664335664335665,0.956911334409484
B4GALT7,-0.0036104490770078037,0.0031631279294843865,-1.1414173430523225,0.25381737788556336,0.9610942545789382,0.7042957042957043,0.9647867162897223
CLCNKA,0.0050685136382168094,0.004441123894264415,1.1412682372499243,0.25387938950186606,0.9610942545789382,0.8811188811188811,0.9832353077386191
MAL2,0.003449288817715936,0.0030250862798121532,1.140228244309443,0.254312205687654,0.9610942545789382,0.03296703296703297,0.7842275371687137
TRBV18,0.005000954403107048,0.004387199445321316,1.1398967531414887,0.254450271019841,0.9610942545789382,0.6593406593406593,0.9591272037315203
CCZ1B,-0.005506773694830387,0.004833242966461639,-1.139353790620771,0.2546765264153203,0.9610942545789382,0.7332667332667333,0.9669839837581773
OR5D18,0.003477890120966321,0.0030554746324177587,1.1382487303496844,0.2551374433785438,0.9610942545789382,0.15884115884115885,0.937847866419295
MAX,-0.00513878061493355,0.004519431852572983,-1.1370412880563352,0.25564172669394897,0.9610942545789382,0.5224775224775224,0.956911334409484
SPDYE4,-0.0035474859722938817,0.003126151757579725,-1.1347772748688374,0.25658914985616715,0.9610942545789382,0.024975024975024976,0.7838728435743362
OR5R1,0.003975854341704644,0.003517700594808236,1.1302423940148474,0.2584941951067543,0.9610942545789382,0.957042957042957,0.9964819131485798
RP11-400N13.3,-0.005698766377332614,0.005044316430073856,-1.1297400661377712,0.25870581857002806,0.9610942545789382,0.9050949050949051,0.9876667806586944
SLC22A10,0.0036210377125332626,0.0032076881342785173,1.1288621464899948,0.2590759618260744,0.9610942545789382,0.11888111888111888,0.9282996415349357
LINC01526,0.004169174345828209,0.0036957436536494298,1.1281016045877947,0.259396913625251,0.9610942545789382,0.4515484515484515,0.956911334409484
