method,n_cells,theta_mean,n_confounders,target,auroc,auprc,type_i,ks_stat,time
Partial_Pearson,800,0.15,10,gene_0038,0.6788617886178862,0.31586810382564606,0.010452961672473868,0.18124434429126685,0.11289501190185547
PGAA_linear,800,0.3,3,gene_0071,0.7296747967479675,0.3796401301160599,0.0975609756097561,0.20835443636439996,0.47809886932373047
Partial_Pearson,800,0.3,3,gene_0071,0.7035423925667827,0.33461198529416775,0.13588850174216027,0.19172608427805093,0.13135790824890137
PGAA_linear,800,0.3,3,gene_0179,0.7444831591173056,0.3316865183569034,0.013937282229965157,0.1306547800685705,0.4693031311035156
Partial_Pearson,800,0.3,3,gene_0179,0.6823461091753775,0.15456166657969753,0.06620209059233449,0.1277063805206066,0.15287399291992188
PGAA_linear,800,0.3,3,gene_0191,0.9883855981416957,0.8419808201058202,0.010452961672473868,0.11837659757384245,0.4932899475097656
Partial_Pearson,800,0.3,3,gene_0191,0.9898373983739838,0.8923280423280424,0.010452961672473868,0.1414959706004828,0.1397092342376709
PGAA_linear,800,0.3,3,gene_0164,0.919279907084785,0.5163388897874013,0.020905923344947737,0.08962267162972348,0.5671968460083008
Partial_Pearson,800,0.3,3,gene_0164,0.9471544715447154,0.6639671690349345,0.010452961672473868,0.07513531604567616,0.14600801467895508
PGAA_linear,800,0.3,5,gene_0176,0.6216608594657375,0.16990486676973826,0.041811846689895474,0.1444422346409619,0.5375938415527344
Partial_Pearson,800,0.3,5,gene_0176,0.6120789779326364,0.08460797478835536,0.059233449477351915,0.13401405919475484,0.13309741020202637
PGAA_linear,800,0.3,5,gene_0039,0.5177119628339142,0.08706604296112838,0.09407665505226481,0.2374372627340278,0.5899379253387451
Partial_Pearson,800,0.3,5,gene_0039,0.5418118466898955,0.1308836976034354,0.06968641114982578,0.19225845211512552,0.19915294647216797
PGAA_linear,800,0.3,5,gene_0013,0.5696864111498258,0.1520054000556107,0.05226480836236934,0.22248121335898413,0.7099111080169678
Partial_Pearson,800,0.3,5,gene_0013,0.6643437862950058,0.0922402491677434,0.07665505226480836,0.16439657658653895,0.14848589897155762
PGAA_linear,800,0.3,5,gene_0080,0.8388501742160279,0.6218231415769688,0.006968641114982578,0.05737900445122268,0.6212623119354248
Partial_Pearson,800,0.3,5,gene_0080,0.8156213704994193,0.6221965475984848,0.006968641114982578,0.12290951625905278,0.2001018524169922
PGAA_linear,800,0.3,10,gene_0133,0.8048780487804877,0.5651793885611923,0.013937282229965157,0.1289651257810922,0.5959842205047607
