gene,S2_obs,null_mean,null_std,z_score,p_perm,p_zscore,p_pooled
MCEE,0.8188988791506336,0.6260236185312894,0.03696108054374334,5.2183339280644585,0.001996007984031936,1.8053975314735737e-07,0.01042544731610338
RP11-434P11.2,0.7817361373698845,0.6561210525419893,0.027767999845344036,4.5237354338632,0.001996007984031936,6.075766460167387e-06,0.031513916500994034
RTKN,0.7092186572657078,0.6681647129718683,0.019001815689836242,2.1605274445323865,0.021956087824351298,0.030731861380855374,0.13649403578528826
RP11-355F16.1,0.7693501133245556,0.6776852994536161,0.02293824153329716,3.996156973841034,0.001996007984031936,6.437905396317056e-05,0.04352385685884692
LRRTM4,0.6950633507437205,0.6832017097606252,0.014167608359783234,0.837236651513137,0.27944111776447106,0.40245955944355094,0.21612326043737576
VAMP8,0.852467704767225,0.769687663690827,0.02864861857252081,2.8894950333066363,0.001996007984031936,0.003858611024227354,0.0037395626242544733
FOXI3,0.6879958263884947,0.6829290631865949,0.013021153784853877,0.38911783745254913,0.34930139720558884,0.6971889789007981,0.26587773359840955
IGKV4-1,0.6172456244082607,0.6042784582926097,0.017517675820588195,0.7402332506010961,0.2894211576846307,0.459158475079108,0.6924284294234593
IGKV2-23,0.516457749591982,0.5087943208476111,0.014903066193612565,0.5142182584987036,0.3033932135728543,0.6070994037039465,0.9750019880715706
IGKV1-27,0.7870517579016072,0.5665164564544363,0.037147749443414535,5.936706927107289,0.001996007984031936,2.908038254645362e-09,0.02698210735586481
IGKV2-38,0.6809330382504334,0.6751933192264932,0.011975882698835089,0.4792731499030169,0.2874251497005988,0.6317443208623099,0.32195029821073556
IGKV1D-35,0.7357408463660836,0.6614105746142749,0.025032142541940063,2.9693931163610636,0.001996007984031936,0.0029838859652797645,0.0810089463220676
IGKV1D-16,0.688014011941109,0.6808264624243163,0.012252462277846286,0.586620823945561,0.24151696606786427,0.557458393892476,0.2616510934393638
MRPS5,0.8277206748809058,0.7380075751489045,0.0282972146328393,3.17038623398237,0.001996007984031936,0.0015223643353075023,0.008107355864811133
RP11-440D17.4,0.5358996601410799,0.5376776972154065,0.01657981889231962,-0.10724104321489904,0.5668662674650699,0.9145977553812215,0.9368290258449304
CIAO1,0.7357578518172897,0.6074856880009916,0.029953477507820823,4.282379693069098,0.001996007984031936,1.8490511008995014e-05,0.08016202783300198
ARID5A,0.6845386592960095,0.6716245022765602,0.01306325289221795,0.988586619734014,0.1217564870259481,0.32286543533807577,0.2867872763419483
FER1L5,0.7056815173654426,0.6974126652258064,0.011257588476147374,0.7345136267110478,0.26746506986027946,0.46263575821615066,0.15059542743538767
AC159540.1,0.8153733583809128,0.7914768729598098,0.019400672636856884,1.231734892310067,0.1157684630738523,0.21804813127710787,0.01138469184890656
AC092667.2,0.6933015321555644,0.6932195117957805,0.011779865101526484,0.006962758832727283,0.5129740518962076,0.9944445671147168,0.22465208747514911
PDCL3,0.5465939462790959,0.5445530808599431,0.018686449775355708,0.10921632753612542,0.4091816367265469,0.9130309102758243,0.9072892644135189
AC092168.3,0.6314141072745874,0.5893382438490836,0.02050303921235321,2.0521768987375646,0.01996007984031936,0.040152473707849134,0.6285904572564612
IL18R1,0.7587366086991806,0.7209485984438609,0.021054363275247,1.7947828562331356,0.03592814371257485,0.07268830329293863,0.05438369781312127
AC096554.1,0.6650115061838262,0.6696204126457547,0.014935438677325675,-0.3085886234413184,0.6207584830339321,0.7576344759574096,0.4514204771371769
FHL2,0.7411479050970254,0.6719334137636315,0.02210860412393179,3.130658586376721,0.001996007984031936,0.0017441479983004715,0.07296322067594434
