dataset_id	platform	split_strength	analysis_unit	method	median_observed_overlap	median_pseudo_overlap	median_specificity_margin	n_repeats
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CCDC78	absolute_mean_shift	0.09	0.07	0.0199999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CCDC78	pgaa_h	0.02	0.04	-0.02	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CCDC78	pgaa_w	0.1	0.08	0.0099999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CCDC78	welch_abs_t	0.02	0.02	0.0	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CLOCK	absolute_mean_shift	0.25	0.04	0.21	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CLOCK	pgaa_h	0.03	0.03	0.0	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CLOCK	pgaa_w	0.28	0.11	0.17	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CLOCK	welch_abs_t	0.22	0.01	0.22	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CPSF3	absolute_mean_shift	0.48	0.04	0.44	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CPSF3	pgaa_h	0.03	0.05	-0.0199999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CPSF3	pgaa_w	0.49	0.06	0.43	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CPSF3	welch_abs_t	0.36	0.02	0.35	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CSE1L	absolute_mean_shift	0.62	0.06	0.55	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CSE1L	pgaa_h	0.06	0.03	0.0	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CSE1L	pgaa_w	0.62	0.09	0.53	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CSE1L	welch_abs_t	0.51	0.01	0.5	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CSTF1	absolute_mean_shift	0.39	0.05	0.3399999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CSTF1	pgaa_h	0.04	0.04	0.01	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CSTF1	pgaa_w	0.41	0.08	0.31	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	CSTF1	welch_abs_t	0.34	0.02	0.31	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX19A	absolute_mean_shift	0.06	0.05	0.0	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX19A	pgaa_h	0.04	0.03	0.01	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX19A	pgaa_w	0.1	0.08	0.02	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX19A	welch_abs_t	0.03	0.01	0.0099999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX19B	absolute_mean_shift	0.07	0.07	0.0	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX19B	pgaa_h	0.02	0.03	-0.0199999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX19B	pgaa_w	0.08	0.09	0.0	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX19B	welch_abs_t	0.03	0.02	0.01	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX23	absolute_mean_shift	0.56	0.07	0.49	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX23	pgaa_h	0.06	0.05	-0.01	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX23	pgaa_w	0.55	0.11	0.48	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX23	welch_abs_t	0.33	0.02	0.31	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX46	absolute_mean_shift	0.24	0.05	0.19	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX46	pgaa_h	0.04	0.02	0.0099999999999999	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX46	pgaa_w	0.27	0.06	0.2	5
nadig2024_hepg2_crispri	HepG2 CRISPRi Perturb-seq	experimental_batch_holdout_28_vs_28	DDX46	welch_abs_t	0.1	0.02	0.08	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	absolute_mean_shift	0.37	0.03	0.32	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	pgaa_h	0.05	0.05	-0.01	5
norman2019_k562_crispra	K562 CRISPRa Perturb-seq	technical_batch_holdout_4_vs_4	AHR	pgaa_w	0.39	0.06	0.31	5
