dataset_id	platform	analysis_unit	control_stratum	excluded_feature	n_discovery_perturbed_available	n_validation_perturbed_available	n_discovery_controls_available	n_validation_controls_available	n_per_group	eligible	selection_basis	split_strength	source_h5ad	selected_rank
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ACOT12	all	ACOT12	103	100	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	4
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ACTB	all	ACTB	114	121	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	5
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ACTR1B	all	ACTR1B	86	89	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	6
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ADAM10	all	ADAM10	204	180	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	7
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ADAT3	all	ADAT3	148	138	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	8
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ALG1L	all	ALG1L	111	101	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	9
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ANAPC15	all	ANAPC15	286	246	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	10
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ANKRD11	all	ANKRD11	85	80	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	11
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ANKS6	all	ANKS6	129	135	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	12
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	AP2M1	all	AP2M1	116	108	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	13
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	AQP7	all	AQP7	103	89	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	14
replogle2022_rpe1_crispri	Human RPE1 CRISPRi perturb-seq	ARL2	all	ARL2	107	108	5884	5601	70	True	descending_minimum_equal_group_size_then_unit_id	recorded_batch_holdout_56_levels	/Volumes/MOVESPEED/pgaa_cross_platform/v3b/sources/replogle2022_rpe1_crispri/ReplogleWeissman2022_rpe1.h5ad	15
