gene,score
CSTA,14.722139776069618
MMD,14.714372490374432
PNMA5,14.687886285472006
ARRB1,14.670052967564414
CR2,14.654632243621808
PER1,14.637658785762426
LGALS2,14.586699724013279
TRGV4,14.576997545012247
PLCB1,14.5214960583223
COCH,14.498841936142707
BACH2,14.491721557202307
CHST12,14.467721682128236
BTG2,14.45493187167544
CEMIP2,14.446407429865992
RGS2,14.444401714752066
CARD19,14.44325281904945
DMTN,14.392039696930574
TNFRSF25,14.36977998721751
RNF157,14.300860906343638
ASPM,14.290522106156233
IRF4,14.261307286193206
CD14,14.231631527242103
DENND3,14.198153477032674
HIST1H1D,14.158624949867841
ZCCHC18,14.06110682941554
LINC02384,14.008799320362284
NACC2,13.988642343651449
S100A12,13.984109532368675
CCL3,13.984096709850693
TRGC2,13.977446232313332
GDPD5,13.95999257038754
TNFRSF18,13.94415745677231
CFD,13.90596563160809
TRDC,13.885151549883373
CSF3R,13.860586472837923
APOBR,13.74608064767304
PLD4,13.739447658658813
FAM214A,13.735858922130564
KLRC4,13.72593929301405
RRBP1,13.695403044111696
IER5L,13.656543767605331
RUFY1,13.615331700036826
TMEM176A,13.58816776339765
ARHGAP10,13.574324262272688
ZNF439,13.508660566864416
ZNF589,13.496193136110149
RGCC,13.490910683140926
MYL9,13.443988261613688
LILRB2,13.425686377000368
HPGD,13.42210577256209
TRAV38-1,13.386371091476434
SECTM1,13.377996962798875
ACSM3,13.377850777810954
PTGDS,13.350257033633518
HRH2,13.33369140331023
TBC1D4,13.330973373103742
NRGN,13.311312231655515
HIST1H1B,13.295209596069805
CDC20,13.27094615252041
LRP1,13.252442848140298
TNFRSF4,13.240210356450453
GLCCI1,13.236811368900337
PRAM1,13.227727214220458
FTL,13.194310757693817
KLRF1,13.16410834023825
SH3TC1,13.084129990746328
PILRA,13.044113263354852
TXK,13.004403446120582
CRTAM,12.994066777006214
GADD45B,12.966826196335374
HIST1H3B,12.82810150934763
CLEC12A,12.823781444992
MAFB,12.816962674915176
FPR1,12.804654306425238
RNF11,12.803391788382042
BCL9L,12.803076016420093
PDZD4,12.79364028564164
GAS7,12.783156381431034
GADD45A,12.772917669516673
XCL2,12.757960293324812
PHKB,12.731953567130777
YWHAH,12.699951684073879
MKI67,12.684757595399972
SLC11A1,12.648948478425245
HIST1H2AI,12.641318709294127
PLAUR,12.621269217917714
TRBV14,12.594930776283958
LILRA5,12.567311214446883
ZNF831,12.566926076868608
RFLNB,12.49205635094851
TUBB4B,12.481799904454427
LMO2,12.461454252851826
SMIM25,12.456429411057794
CLEC7A,12.450639581404339
CLU,12.445387038915474
ODC1,12.441993711435664
CDK6,12.429523854136104
MICAL2,12.42193269590913
PLK1,12.416776076325908
ETS2,12.41089888080628
HIST2H2AA4,12.384572519027644
HK3,12.372924054997021
LGALS8,12.366509895577314
ANO6,12.358990526590027
CD300E,12.33379176006993
SMARCD3,12.32626866038429
KIR3DL1,12.250432406016897
NR4A2,12.237202727217095
C5orf56,12.200328876097341
RRM2,12.173646970585814
IGSF6,12.16476311171932
C5AR1,12.116975047716341
RAB32,12.115255478843144
NCAM1,12.105062857411195
LILRA2,12.089162988996799
ADARB1,12.084171923695566
UBE2S,12.076198043879442
SPATA13,12.06034427690602
HIST1H1C,12.058049264051428
ARAP2,11.996395153054632
BHLHE40,11.988904269493512
CD84,11.97437576022322
FNDC3B,11.923322518769334
CSF1R,11.888469935427056
RB1,11.873363072583642
SCGB3A1,11.861229461250906
A2M-AS1,11.788438687612558
SOCS1,11.757247070485873
SFMBT2,11.745618370620882
JUN,11.74378017038462
IRF7,11.743433267329273
TRBV20-1,11.732206921374576
IRF1,11.690517271322308
FGL2,11.68594153264647
MAPK8IP3,11.68409514326706
ZNF385A,11.676243321491288
TRAV17,11.667938521270584
AC008105.3,11.649981578424034
HS3ST3B1,11.634775613221388
CAMK1,11.63448181525863
TNFSF13B,11.631278381895413
HSPA1B,11.596267843606267
OSM,11.583343146626513
CCNA2,11.580444720772626
MACF1,11.536871862096122
IRAK3,11.47293420276525
SLC25A37,11.454348896142632
CCL4,11.400074996354748
SULT1A1,11.376154652233938
DDHD1,11.328070000053707
RHBDL1,11.285882057426173
CDA,11.278908828584546
COL19A1,11.263552528643443
TNFRSF9,11.167861347993483
ADCY9,11.144827808613307
JAKMIP1,11.144533585839866
EIF2AK1,11.139615414077436
HIST1H2AJ,11.039020619549882
MS4A7,11.038574334320414
BMERB1,11.036892849174992
AC007569.1,10.966268847747205
DMXL2,10.93337770035101
RGS9,10.926263189673312
FBP1,10.880756663885391
TSPAN18,10.858081571226492
TRBV7-9,10.83799945854511
TRBV2,10.826121884395729
SLC40A1,10.810936993054291
RHOU,10.809872260328403
TRGV10,10.801406262171731
CD36,10.776581389030374
TRBV9,10.765920872010875
PLXDC2,10.763095945830571
DTHD1,10.761173893348255
FCGR1A,10.715374325748916
PIM1,10.70820794348805
APOBEC3A,10.705316089870294
DUSP6,10.693783540963258
LILRA1,10.679833955322621
RETN,10.663934603456317
STK38,10.65874720827538
KLK1,10.653260482071884
AL359220.1,10.63891595963549
TRAV8-2,10.638220947640457
CPVL,10.624867441393548
FHL1,10.560114714964936
SAMD9L,10.546714725577818
SLC12A6,10.544881546033958
FCRL2,10.532825534205017
CD300LF,10.504745406647812
ASGR1,10.480858157069001
DPEP2,10.43822752848401
HIST1H2AH,10.436244245242147
SMIM3,10.417875914313855
NMUR1,10.405443977691926
DOCK5,10.388173195246456
STX16,10.375420245168785
TRAV38-2DV8,10.37361842184043
ZNF467,10.365629401677683
